Date Collected,MLVA Type,MLVA Loci Size
1/12/2008,3-17-16-13-523,162-271-354-383-523
1/12/2008,3-17-16-13-523,162-271-354-383-523
1/12/2008,3-9-7-13-523,162-223-300-383-523
1/12/2008,3-9-7-13-523,162-223-300-383-523
1/12/2008,5-15-16-12-490,180-259-354-377-490
2/12/2008,3-10-14-11-496,162-229-342-371-496
2/12/2008,3-12-9-10-550,162-241-312-365-550
2/12/2008,3-17-16-13-523,162-271-354-383-523
2/12/2008,3-9-7-13-523,162-223-300-383-523
2/12/2008,3-9-7-13-523,162-223-300-383-523
2/12/2008,3-9-8-11-523,162-223-306-371-523
2/12/2008,4-15-21-11-523,171-259-384-371-523
3/12/2008,3-10-7-9-523,162-229-300-359-523
3/12/2008,3-17-15-13-523,162-271-348-383-523
3/12/2008,3-17-16-13-523,162-271-354-383-523
3/12/2008,3-17-16-13-523,162-271-354-383-523
3/12/2008,3-9-7-13-523,162-223-300-383-523
3/12/2008,3-9-7-13-523,162-223-300-383-523
3/12/2008,3-9-7-13-523,162-223-300-383-523
3/12/2008,3-9-7-13-523,162-223-300-383-523
3/12/2008,3-9-8-12-523,162-223-306-377-523
3/12/2008,4-12-0-0-463,171-241-0-0-463
4/12/2008,3-10-7-9-523,162-229-300-359-523
4/12/2008,3-14-8-14-523,162-253-306-389-523
4/12/2008,3-15-12-11-523,162-259-330-371-523
4/12/2008,3-15-12-11-523,162-259-330-371-523
4/12/2008,3-15-12-11-523,162-259-330-371-523
4/12/2008,3-15-12-11-523,162-259-330-371-523
4/12/2008,3-17-16-13-523,162-271-354-383-523
4/12/2008,3-9-7-13-523,162-223-300-383-523
5/12/2008,3-10-7-9-523,162-229-300-359-523
5/12/2008,3-10-7-9-523,162-229-300-359-523
5/12/2008,3-11-11-8-523,162-235-324-353-523
5/12/2008,3-17-16-13-523,162-271-354-383-523
5/12/2008,3-9-7-13-523,162-223-300-383-523
5/12/2008,3-9-7-13-523,162-223-300-383-523
5/12/2008,3-9-7-13-523,162-223-300-383-523
5/12/2008,3-9-8-12-523,162-223-306-377-523
5/12/2008,4-16-16-22-517,171-265-354-437-517
5/12/2008,7-11-12-9-490,198-235-330-359-490
6/12/2008,3-10-14-11-496,162-229-342-371-496
6/12/2008,3-9-7-13-523,162-223-300-383-523
6/12/2008,3-9-7-13-523,162-223-300-383-523
6/12/2008,3-9-7-13-523,162-223-300-383-523
6/12/2008,4-15-13-0-517,171-259-336-0-517
8/12/2008,3-21-7-10-496,162-295-300-365-496
8/12/2008,3-9-7-13-523,162-223-300-383-523
8/12/2008,3-9-7-13-523,162-223-300-383-523
8/12/2008,3-9-7-13-523,162-223-300-383-523
8/12/2008,3-9-8-12-523,162-223-306-377-523
8/12/2008,4-14-10-0-490,171-253-318-0-490
8/12/2008,4-16-12-0-517,171-265-330-0-517
9/12/2008,3-10-14-11-496,162-229-342-371-496
9/12/2008,3-10-14-11-496,162-229-342-371-496
9/12/2008,3-10-14-11-496,162-229-342-371-496
9/12/2008,3-10-14-11-496,162-229-342-371-496
9/12/2008,3-10-7-9-523,162-229-300-359-523
9/12/2008,3-11-14-11-496,162-235-342-371-496
9/12/2008,3-9-7-13-523,162-223-300-383-523
9/12/2008,3-9-7-13-523,162-223-300-383-523
10/12/2008,3-17-16-13-523,162-271-354-383-523
10/12/2008,3-9-7-13-523,162-223-300-383-523
10/12/2008,3-9-8-12-523,162-223-306-377-523
11/12/2008,3-10-15-11-496,162-229-348-371-496
11/12/2008,3-10-7-9-523,162-229-300-359-523
11/12/2008,3-10-7-9-523,162-229-300-359-523
11/12/2008,3-16-12-11-523,162-265-330-371-523
11/12/2008,3-17-16-13-523,162-271-354-383-523
11/12/2008,3-9-7-13-523,162-223-300-383-523
11/12/2008,3-9-7-13-523,162-223-300-383-523
11/12/2008,3-9-7-13-523,162-223-300-383-523
12/12/2008,3-10-14-11-496,162-229-342-371-496
12/12/2008,3-12-8-14-523,162-241-306-389-523
12/12/2008,3-9-7-12-523,162-223-300-377-523
12/12/2008,3-9-7-13-523,162-223-300-383-523
12/12/2008,3-9-7-13-523,162-223-300-383-523
13/12/2008,3-10-7-9-523,162-229-300-359-523
13/12/2008,3-10-7-9-523,162-229-300-359-523
13/12/2008,5-17-15-12-490,180-271-348-377-490
14/12/2008,3-10-8-9-523,162-229-306-359-523
14/12/2008,3-9-7-13-523,162-223-300-383-523
14/12/2008,3-9-8-12-523,162-223-306-377-523
15/12/2008,3-10-14-11-496,162-229-342-371-496
15/12/2008,3-10-15-11-496,162-229-348-371-496
15/12/2008,3-12-11-10-523,162-241-324-365-523
15/12/2008,3-9-7-13-523,162-223-300-383-523
15/12/2008,4-16-12-0-517,171-265-330-0-517
15/12/2008,5-16-13-10-490,180-265-336-365-490
16/12/2008,3-10-7-9-523,162-229-300-359-523
16/12/2008,3-12-9-10-550,162-241-312-365-550
16/12/2008,3-9-7-13-523,162-223-300-383-523
16/12/2008,3-9-8-12-523,162-223-306-377-523
17/12/2008,3-9-7-13-523,162-223-300-383-523
17/12/2008,3-9-8-12-523,162-223-306-377-523
17/12/2008,3-9-8-12-523,162-223-306-377-523
17/12/2008,3-9-9-12-523,162-223-312-377-523
17/12/2008,4-16-12-0-517,171-265-330-0-517
17/12/2008,5-15-16-13-490,180-259-354-383-490
17/12/2008,5-17-15-12-490,180-271-348-377-490
18/12/2008,3-10-7-9-523,162-229-300-359-523
18/12/2008,3-10-7-9-523,162-229-300-359-523
18/12/2008,3-12-9-10-550,162-241-312-365-550
18/12/2008,3-12-9-10-550,162-241-312-365-550
18/12/2008,3-13-9-10-523,162-247-312-365-523
18/12/2008,3-9-7-13-523,162-223-300-383-523
19/12/2008,3-10-14-11-496,162-229-342-371-496
19/12/2008,3-10-14-11-496,162-229-342-371-496
19/12/2008,3-12-7-10-550,162-241-300-365-550
19/12/2008,3-21-14-12-523,162-295-342-377-523
19/12/2008,3-9-7-13-523,162-223-300-383-523
19/12/2008,3-9-7-13-523,162-223-300-383-523
19/12/2008,3-9-8-12-523,162-223-306-377-523
19/12/2008,3-9-8-12-523,162-223-306-377-523
19/12/2008,4-12-0-0-463,171-241-0-0-463
19/12/2008,5-15-16-12-490,180-259-354-377-490
20/12/2008,3-9-8-12-523,162-223-306-377-523
20/12/2008,4-14-12-0-490,171-253-330-0-490
21/12/2008,3-10-14-11-496,162-229-342-371-496
21/12/2008,3-13-9-10-523,162-247-312-365-523
21/12/2008,3-15-0-0-517,162-259-0-0-517
21/12/2008,3-15-11-10-523,162-259-324-365-523
21/12/2008,4-16-14-0-517,171-265-342-0-517
22/12/2008,3-10-7-9-523,162-229-300-359-523
22/12/2008,3-9-7-13-523,162-223-300-383-523
23/12/2008,3-10-14-11-496,162-229-342-371-496
23/12/2008,3-9-7-13-523,162-223-300-383-523
23/12/2008,3-9-8-12-523,162-223-306-377-523
23/12/2008,3-9-8-12-523,162-223-306-377-523
24/12/2008,3-9-7-13-523,162-223-300-383-523
25/12/2008,3-15-12-10-523,162-259-330-365-523
26/12/2008,3-10-14-11-496,162-229-342-371-496
26/12/2008,3-12-9-10-550,162-241-312-365-550
27/12/2008,3-10-15-11-496,162-229-348-371-496
27/12/2008,3-10-7-9-523,162-229-300-359-523
27/12/2008,3-12-10-12-523,162-241-318-377-523
27/12/2008,3-15-12-10-523,162-259-330-365-523
27/12/2008,3-9-17-12-523,162-223-360-377-523
28/12/2008,3-10-15-11-496,162-229-348-371-496
28/12/2008,3-10-7-12-523,162-229-300-377-523
28/12/2008,3-10-7-12-523,162-229-300-377-523
28/12/2008,3-9-8-12-523,162-223-306-377-523
29/12/2008,3-10-14-11-496,162-229-342-371-496
29/12/2008,3-10-7-9-523,162-229-300-359-523
29/12/2008,3-10-7-9-523,162-229-300-359-523
29/12/2008,3-9-7-12-523,162-223-300-377-523
30/12/2008,3-10-15-11-496,162-229-348-371-496
30/12/2008,3-10-8-12-523,162-229-306-377-523
30/12/2008,3-12-10-12-523,162-241-318-377-523
30/12/2008,3-9-8-12-523,162-223-306-377-523
30/12/2008,3-9-8-12-523,162-223-306-377-523
31/12/2008,3-10-7-12-523,162-229-300-377-523
31/12/2008,3-10-7-9-523,162-229-300-359-523
31/12/2008,3-12-13-10-523,162-241-336-365-523
31/12/2008,3-13-10-12-523,162-247-318-377-523
31/12/2008,3-13-9-10-523,162-247-312-365-523
31/12/2008,3-9-7-12-523,162-223-300-377-523
31/12/2008,3-9-7-13-523,162-223-300-383-523
31/12/2008,3-9-7-13-523,162-223-300-383-523
31/12/2008,3-9-8-12-523,162-223-306-377-523
31/12/2008,3-9-8-12-523,162-223-306-377-523
1/01/2009,3-12-10-12-523,162-241-318-377-523
1/01/2009,3-9-7-13-523,162-223-300-383-523
2/01/2009,3-10-7-12-523,162-229-300-377-523
2/01/2009,3-10-8-12-523,162-229-306-377-523
2/01/2009,3-13-10-12-523,162-247-318-377-523
3/01/2009,3-12-9-10-550,162-241-312-365-550
3/01/2009,3-12-9-10-550,162-241-312-365-550
3/01/2009,3-12-9-10-550,162-241-312-365-550
3/01/2009,3-12-9-10-550,162-241-312-365-550
3/01/2009,3-9-9-12-523,162-223-312-377-523
4/01/2009,3-11-12-14-523,162-235-330-389-523
4/01/2009,3-9-9-11-523,162-223-312-371-523
5/01/2009,3-11-14-11-496,162-235-342-371-496
5/01/2009,3-12-9-10-550,162-241-312-365-550
5/01/2009,3-15-11-9-523,162-259-324-359-523
5/01/2009,3-8-7-11-523,162-217-300-371-523
5/01/2009,3-9-7-12-523,162-223-300-377-523
5/01/2009,3-9-7-13-523,162-223-300-383-523
5/01/2009,3-9-7-13-523,162-223-300-383-523
5/01/2009,5-15-15-12-490,180-259-348-377-490
5/01/2009,5-17-14-11-490,180-271-342-371-490
6/01/2009,3-11-12-14-523,162-235-330-389-523
6/01/2009,3-11-12-14-523,162-235-330-389-523
6/01/2009,3-11-8-11-523,162-235-306-371-523
6/01/2009,3-9-8-12-523,162-223-306-377-523
6/01/2009,5-14-11-7-490,180-253-324-347-490
6/01/2009,5-17-15-12-490,180-271-348-377-490
7/01/2009,3-10-7-12-523,162-229-300-377-523
7/01/2009,3-9-7-13-523,162-223-300-383-523
7/01/2009,3-9-7-13-523,162-223-300-383-523
7/01/2009,3-9-8-12-523,162-223-306-377-523
7/01/2009,4-15-15-0-490,171-259-348-0-490
8/01/2009,3-10-14-11-496,162-229-342-371-496
8/01/2009,3-10-7-9-523,162-229-300-359-523
8/01/2009,3-11-12-14-523,162-235-330-389-523
8/01/2009,3-9-7-13-523,162-223-300-383-523
9/01/2009,3-10-14-11-496,162-229-342-371-496
9/01/2009,3-9-7-12-523,162-223-300-377-523
9/01/2009,3-9-7-13-523,162-223-300-383-523
9/01/2009,3-9-7-13-523,162-223-300-383-523
9/01/2009,4-15-13-0-517,171-259-336-0-517
10/01/2009,3-10-14-11-496,162-229-342-371-496
10/01/2009,3-11-12-14-523,162-235-330-389-523
10/01/2009,3-12-9-10-550,162-241-312-365-550
10/01/2009,3-9-7-13-523,162-223-300-383-523
10/01/2009,3-9-7-13-523,162-223-300-383-523
10/01/2009,3-9-7-13-523,162-223-300-383-523
11/01/2009,3-10-8-9-523,162-229-306-359-523
11/01/2009,3-11-10-8-523,162-235-318-353-523
11/01/2009,3-12-9-10-550,162-241-312-365-550
11/01/2009,3-9-7-13-523,162-223-300-383-523
11/01/2009,3-9-7-13-523,162-223-300-383-523
11/01/2009,3-9-8-12-523,162-223-306-377-523
12/01/2009,3-10-14-11-496,162-229-342-371-496
12/01/2009,3-10-14-11-496,162-229-342-371-496
12/01/2009,3-10-15-11-496,162-229-348-371-496
12/01/2009,3-11-10-8-523,162-235-318-353-523
12/01/2009,3-9-7-12-523,162-223-300-377-523
12/01/2009,5-17-13-10-490,180-271-336-365-490
13/01/2009,3-12-9-10-550,162-241-312-365-550
13/01/2009,3-12-9-10-550,162-241-312-365-550
13/01/2009,3-13-11-10-523,162-247-324-365-523
13/01/2009,3-9-9-12-523,162-223-312-377-523
13/01/2009,5-13-12-9-490,180-247-330-359-490
14/01/2009,3-12-11-10-523,162-241-324-365-523
14/01/2009,3-12-9-10-550,162-241-312-365-550
14/01/2009,3-9-7-13-523,162-223-300-383-523
14/01/2009,3-9-8-12-523,162-223-306-377-523
15/01/2009,3-12-9-10-550,162-241-312-365-550
15/01/2009,3-12-9-10-550,162-241-312-365-550
15/01/2009,3-12-9-10-550,162-241-312-365-550
15/01/2009,3-12-9-10-550,162-241-312-365-550
15/01/2009,3-12-9-10-550,162-241-312-365-550
15/01/2009,3-13-11-12-523,162-247-324-377-523
15/01/2009,3-9-10-12-523,162-223-318-377-523
15/01/2009,3-9-6-13-523,162-223-294-383-523
15/01/2009,3-9-7-13-523,162-223-300-383-523
16/01/2009,3-11-10-8-523,162-235-318-353-523
16/01/2009,3-11-10-8-523,162-235-318-353-523
16/01/2009,3-12-9-10-550,162-241-312-365-550
16/01/2009,3-12-9-10-550,162-241-312-365-550
16/01/2009,3-22-15-9-523,162-301-348-359-523
16/01/2009,3-9-8-12-523,162-223-306-377-523
16/01/2009,4-16-14-0-517,171-265-342-0-517
16/01/2009,5-17-16-12-490,180-271-354-377-490
17/01/2009,3-10-14-11-496,162-229-342-371-496
17/01/2009,3-10-14-11-496,162-229-342-371-496
17/01/2009,3-17-16-13-523,162-271-354-383-523
18/01/2009,3-10-14-11-496,162-229-342-371-496
18/01/2009,3-12-9-10-550,162-241-312-365-550
18/01/2009,3-12-9-10-550,162-241-312-365-550
19/01/2009,3-10-7-9-523,162-229-300-359-523
19/01/2009,3-12-9-10-550,162-241-312-365-550
19/01/2009,3-12-9-10-550,162-241-312-365-550
19/01/2009,3-12-9-10-550,162-241-312-365-550
19/01/2009,3-12-9-10-550,162-241-312-365-550
19/01/2009,3-12-9-10-550,162-241-312-365-550
19/01/2009,3-9-7-12-523,162-223-300-377-523
19/01/2009,3-9-7-12-523,162-223-300-377-523
19/01/2009,3-9-8-12-523,162-223-306-377-523
19/01/2009,5-15-16-12-490,180-259-354-377-490
20/01/2009,3-12-10-12-523,162-241-318-377-523
20/01/2009,3-15-16-14-523,162-259-354-389-523
20/01/2009,3-15-16-14-523,162-259-354-389-523
20/01/2009,3-15-16-14-523,162-259-354-389-523
20/01/2009,3-9-7-12-523,162-223-300-377-523
20/01/2009,3-9-7-13-523,162-223-300-383-523
20/01/2009,3-9-7-13-523,162-223-300-383-523
20/01/2009,3-9-7-13-523,162-223-300-383-523
20/01/2009,3-9-8-12-523,162-223-306-377-523
20/01/2009,4-15-12-0-490,171-259-330-0-490
20/01/2009,4-16-12-0-517,171-265-330-0-517
21/01/2009,3-10-10-13-523,162-229-318-383-523
21/01/2009,3-11-11-8-523,162-235-324-353-523
21/01/2009,3-11-8-13-523,162-235-306-383-523
21/01/2009,3-12-6-11-523,162-241-294-371-523
21/01/2009,3-15-10-13-523,162-259-318-383-523
21/01/2009,3-21-12-12-523,162-295-330-377-523
21/01/2009,3-9-7-12-523,162-223-300-377-523
21/01/2009,3-9-7-12-523,162-223-300-377-523
21/01/2009,3-9-7-13-523,162-223-300-383-523
21/01/2009,3-9-7-13-523,162-223-300-383-523
21/01/2009,3-9-7-13-523,162-223-300-383-523
21/01/2009,3-9-7-13-523,162-223-300-383-523
21/01/2009,3-9-8-12-523,162-223-306-377-523
21/01/2009,3-9-8-12-523,162-223-306-377-523
21/01/2009,4-16-13-0-517,171-265-336-0-517
22/01/2009,3-10-7-12-523,162-229-300-377-523
22/01/2009,3-10-8-9-523,162-229-306-359-523
22/01/2009,3-10-9-9-523,162-229-312-359-523
22/01/2009,3-11-10-8-523,162-235-318-353-523
22/01/2009,3-12-9-10-550,162-241-312-365-550
22/01/2009,3-12-9-10-550,162-241-312-365-550
22/01/2009,3-9-7-12-523,162-223-300-377-523
22/01/2009,3-9-7-12-523,162-223-300-377-523
22/01/2009,3-9-7-12-523,162-223-300-377-523
22/01/2009,3-9-7-12-523,162-223-300-377-523
22/01/2009,5-14-9-9-490,180-253-312-359-490
22/01/2009,5-15-15-12-490,180-259-348-377-490
22/01/2009,6-14-17-13-490,189-253-360-383-490
23/01/2009,3-12-9-10-550,162-241-312-365-550
23/01/2009,3-13-11-12-523,162-247-324-377-523
23/01/2009,3-9-8-12-523,162-223-306-377-523
23/01/2009,3-9-8-12-523,162-223-306-377-523
23/01/2009,4-14-9-0-490,171-253-312-0-490
24/01/2009,3-13-11-10-523,162-247-324-365-523
24/01/2009,3-13-11-10-523,162-247-324-365-523
24/01/2009,3-15-11-9-523,162-259-324-359-523
24/01/2009,3-17-16-13-523,162-271-354-383-523
24/01/2009,3-9-7-12-523,162-223-300-377-523
24/01/2009,3-9-7-12-523,162-223-300-377-523
24/01/2009,3-9-8-12-523,162-223-306-377-523
24/01/2009,3-9-8-12-523,162-223-306-377-523
25/01/2009,3-12-9-10-550,162-241-312-365-550
25/01/2009,3-13-11-10-523,162-247-324-365-523
25/01/2009,3-14-8-12-523,162-253-306-377-523
25/01/2009,3-9-7-12-523,162-223-300-377-523
25/01/2009,3-9-7-12-523,162-223-300-377-523
25/01/2009,3-9-8-12-523,162-223-306-377-523
25/01/2009,4-16-13-0-517,171-265-336-0-517
26/01/2009,3-10-9-9-523,162-229-312-359-523
26/01/2009,3-12-9-10-550,162-241-312-365-550
26/01/2009,3-12-9-10-550,162-241-312-365-550
26/01/2009,3-9-8-12-523,162-223-306-377-523
26/01/2009,3-9-8-12-523,162-223-306-377-523
26/01/2009,3-9-8-12-523,162-223-306-377-523
26/01/2009,3-9-8-12-523,162-223-306-377-523
26/01/2009,3-9-8-12-523,162-223-306-377-523
26/01/2009,4-16-14-13-517,171-265-342-383-517
27/01/2009,3-12-9-10-550,162-241-312-365-550
27/01/2009,3-13-11-12-523,162-247-324-377-523
27/01/2009,3-9-7-12-523,162-223-300-377-523
27/01/2009,3-9-7-12-523,162-223-300-377-523
27/01/2009,3-9-7-12-523,162-223-300-377-523
27/01/2009,3-9-7-13-523,162-223-300-383-523
27/01/2009,3-9-8-12-523,162-223-306-377-523
27/01/2009,3-9-8-12-523,162-223-306-377-523
27/01/2009,5-14-9-9-490,180-253-312-359-490
28/01/2009,3-10-7-9-523,162-229-300-359-523
28/01/2009,3-9-7-12-523,162-223-300-377-523
28/01/2009,3-9-8-12-523,162-223-306-377-523
28/01/2009,3-9-8-12-523,162-223-306-377-523
28/01/2009,3-9-8-12-523,162-223-306-377-523
28/01/2009,3-9-8-12-523,162-223-306-377-523
29/01/2009,3-12-10-12-523,162-241-318-377-523
29/01/2009,3-9-7-12-523,162-223-300-377-523
29/01/2009,3-9-7-13-523,162-223-300-383-523
29/01/2009,3-9-8-12-523,162-223-306-377-523
29/01/2009,3-9-8-12-523,162-223-306-377-523
29/01/2009,3-9-8-12-523,162-223-306-377-523
29/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-12-9-10-550,162-241-312-365-550
30/01/2009,3-16-16-14-523,162-265-354-389-523
30/01/2009,3-9-7-12-523,162-223-300-377-523
30/01/2009,3-9-7-12-523,162-223-300-377-523
30/01/2009,3-9-7-12-523,162-223-300-377-523
30/01/2009,3-9-7-13-523,162-223-300-383-523
30/01/2009,3-9-7-13-523,162-223-300-383-523
30/01/2009,3-9-7-13-523,162-223-300-383-523
30/01/2009,3-9-7-13-523,162-223-300-383-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
30/01/2009,3-9-8-12-523,162-223-306-377-523
31/01/2009,3-10-14-11-496,162-229-342-371-496
31/01/2009,3-16-11-9-523,162-265-324-359-523
31/01/2009,3-17-16-14-523,162-271-354-389-523
31/01/2009,3-9-7-12-523,162-223-300-377-523
31/01/2009,3-9-7-13-523,162-223-300-383-523
31/01/2009,3-9-8-12-523,162-223-306-377-523
31/01/2009,3-9-8-12-523,162-223-306-377-523
31/01/2009,3-9-8-12-523,162-223-306-377-523
31/01/2009,3-9-8-12-523,162-223-306-377-523
31/01/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-26-14-11-523,162-325-342-371-523
1/02/2009,3-9-7-12-523,162-223-300-377-523
1/02/2009,3-9-7-13-523,162-223-300-383-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
1/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-11-14-11-496,162-235-342-371-496
2/02/2009,3-11-7-9-523,162-235-300-359-523
2/02/2009,3-16-16-13-523,162-265-354-383-523
2/02/2009,3-9-7-12-523,162-223-300-377-523
2/02/2009,3-9-7-12-523,162-223-300-377-523
2/02/2009,3-9-7-13-523,162-223-300-383-523
2/02/2009,3-9-7-13-523,162-223-300-383-523
2/02/2009,3-9-7-13-523,162-223-300-383-523
2/02/2009,3-9-7-13-523,162-223-300-383-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-8-12-523,162-223-306-377-523
2/02/2009,3-9-9-12-523,162-223-312-377-523
3/02/2009,3-10-14-11-496,162-229-342-371-496
3/02/2009,3-12-9-10-550,162-241-312-365-550
3/02/2009,3-9-7-12-523,162-223-300-377-523
3/02/2009,3-9-7-13-523,162-223-300-383-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-12-523,162-223-306-377-523
3/02/2009,3-9-8-13-523,162-223-306-383-523
3/02/2009,3-9-8-13-523,162-223-306-383-523
3/02/2009,3-9-8-13-523,162-223-306-383-523
3/02/2009,3-9-8-14-523,162-223-306-389-523
4/02/2009,3-10-7-9-523,162-229-300-359-523
4/02/2009,3-11-10-8-523,162-235-318-353-523
4/02/2009,3-12-9-10-550,162-241-312-365-550
4/02/2009,3-14-8-13-523,162-253-306-383-523
4/02/2009,3-14-8-13-523,162-253-306-383-523
4/02/2009,3-17-16-14-523,162-271-354-389-523
4/02/2009,3-23-16-12-523,162-307-354-377-523
4/02/2009,3-26-15-11-523,162-325-348-371-523
4/02/2009,3-26-15-11-523,162-325-348-371-523
4/02/2009,3-26-15-11-523,162-325-348-371-523
4/02/2009,3-9-7-12-523,162-223-300-377-523
4/02/2009,3-9-7-12-523,162-223-300-377-523
4/02/2009,3-9-7-12-523,162-223-300-377-523
4/02/2009,3-9-8-12-523,162-223-306-377-523
4/02/2009,3-9-8-12-523,162-223-306-377-523
4/02/2009,3-9-8-12-523,162-223-306-377-523
4/02/2009,3-9-8-12-523,162-223-306-377-523
4/02/2009,3-9-8-12-523,162-223-306-377-523
4/02/2009,3-9-8-13-523,162-223-306-383-523
4/02/2009,5-11-11-12-490,180-235-324-377-490
4/02/2009,5-11-11-12-490,180-235-324-377-490
4/02/2009,5-15-14-11-490,180-259-342-371-490
5/02/2009,3-10-15-11-496,162-229-348-371-496
5/02/2009,3-11-10-8-523,162-235-318-353-523
5/02/2009,3-12-9-10-550,162-241-312-365-550
5/02/2009,3-9-8-12-523,162-223-306-377-523
5/02/2009,3-9-8-12-523,162-223-306-377-523
5/02/2009,3-9-8-12-523,162-223-306-377-523
5/02/2009,5-15-16-12-490,180-259-354-377-490
6/02/2009,3-10-16-9-523,162-229-354-359-523
6/02/2009,3-10-7-12-523,162-229-300-377-523
6/02/2009,3-9-7-13-523,162-223-300-383-523
6/02/2009,3-9-7-13-523,162-223-300-383-523
6/02/2009,3-9-8-12-523,162-223-306-377-523
6/02/2009,3-9-8-12-523,162-223-306-377-523
6/02/2009,3-9-8-12-523,162-223-306-377-523
6/02/2009,3-9-8-12-523,162-223-306-377-523
6/02/2009,3-9-8-13-523,162-223-306-383-523
6/02/2009,5-11-11-12-490,180-235-324-377-490
7/02/2009,3-13-12-12-523,162-247-330-377-523
7/02/2009,3-14-8-13-523,162-253-306-383-523
7/02/2009,3-17-16-13-523,162-271-354-383-523
7/02/2009,3-9-7-13-523,162-223-300-383-523
7/02/2009,3-9-7-13-523,162-223-300-383-523
7/02/2009,3-9-8-12-523,162-223-306-377-523
7/02/2009,3-9-8-12-523,162-223-306-377-523
7/02/2009,5-11-11-13-490,180-235-324-383-490
8/02/2009,3-9-7-12-523,162-223-300-377-523
8/02/2009,3-9-8-12-523,162-223-306-377-523
8/02/2009,3-9-8-12-523,162-223-306-377-523
8/02/2009,3-9-8-12-523,162-223-306-377-523
8/02/2009,5-11-11-12-490,180-235-324-377-490
9/02/2009,3-10-13-11-496,162-229-336-371-496
9/02/2009,3-10-14-11-496,162-229-342-371-496
9/02/2009,3-10-14-11-496,162-229-342-371-496
9/02/2009,3-10-7-12-523,162-229-300-377-523
9/02/2009,3-15-11-9-523,162-259-324-359-523
9/02/2009,3-9-7-12-523,162-223-300-377-523
9/02/2009,3-9-7-12-523,162-223-300-377-523
9/02/2009,3-9-7-12-523,162-223-300-377-523
9/02/2009,3-9-8-12-523,162-223-306-377-523
9/02/2009,3-9-8-12-523,162-223-306-377-523
9/02/2009,3-9-8-12-523,162-223-306-377-523
9/02/2009,3-9-8-12-523,162-223-306-377-523
9/02/2009,3-9-8-12-523,162-223-306-377-523
9/02/2009,5-14-11-7-490,180-253-324-347-490
10/02/2009,3-10-14-11-496,162-229-342-371-496
10/02/2009,3-12-9-10-550,162-241-312-365-550
10/02/2009,3-12-9-12-523,162-241-312-377-523
10/02/2009,3-13-12-12-523,162-247-330-377-523
10/02/2009,3-9-7-12-523,162-223-300-377-523
10/02/2009,3-9-7-13-523,162-223-300-383-523
10/02/2009,3-9-8-12-523,162-223-306-377-523
10/02/2009,5-11-11-12-490,180-235-324-377-490
10/02/2009,6-11-17-9-490,189-235-360-359-490
